# X, Y, VelX, VelY |[221.;103.;  0.;  0.][238. ;229. ; 18. ; 18.5]
0.61765,0.08297,0.55556,0.10811
0.65966,0.09170,0.50000,0.21622
0.69748,0.10917,0.52778,0.24324
0.73739,0.12882,0.36111,0.24324
0.76471,0.14847,0.38889,0.27027
0.79412,0.17031,0.33333,0.27027
0.81933,0.19214,0.27778,0.37838
0.84034,0.22271,0.27778,0.37838
0.86134,0.25328,0.27778,0.48649
0.88235,0.29258,0.16667,0.54054
0.89496,0.33624,0.22222,0.64865
0.91176,0.38865,0.11111,0.59459
0.92017,0.43668,0.05556,0.64865
0.92437,0.48908,0.00000,0.64865
0.92437,0.54148,-0.05556,0.64865
0.92017,0.59389,-0.16667,0.64865
0.90756,0.64629,-0.22222,0.59459
0.89076,0.69432,-0.27778,0.59459
0.86975,0.74236,-0.33333,0.43243
0.84454,0.77729,-0.44444,0.32432
0.81092,0.80349,-0.50000,0.27027
0.77311,0.82533,-0.55556,0.21622
0.73109,0.84279,-0.66667,0.16216
0.68067,0.85590,-0.77778,0.10811
0.62185,0.86463,-0.77778,0.05405
0.56303,0.86900,-0.77778,-0.10811
0.50420,0.86026,-0.83333,-0.21622
0.44118,0.84279,-0.61111,-0.32432
0.39496,0.81659,-0.88889,-0.54054
0.32773,0.77293,-0.61111,-0.64865
0.28151,0.72052,-0.50000,-0.70270
0.24370,0.66376,-0.33333,-0.81081
0.21849,0.59825,-0.27778,-0.81081
0.19748,0.53275,-0.11111,-0.86486
0.18908,0.46288,-0.05556,-0.70270
0.18487,0.40611,0.05556,-0.75676
0.18908,0.34498,0.16667,-0.64865
0.20168,0.29258,0.16667,-0.59459
0.21429,0.24454,0.27778,-0.54054
0.23529,0.20087,0.27778,-0.43243
0.25630,0.16594,0.33333,-0.43243
0.28151,0.13100,0.44444,-0.32432
0.31513,0.10480,0.38889,-0.27027
0.34454,0.08297,0.50000,-0.21622
0.38235,0.06550,0.50000,-0.16216
0.42017,0.05240,0.50000,-0.05405
0.45798,0.04803,0.55556,0.00000
0.50000,0.04803,0.55556,0.05405
0.54202,0.05240,0.55556,0.05405
0.58403,0.05677,0.50000,0.10811
0.62185,0.06550,0.44444,0.10811
0.65546,0.07424,0.50000,0.16216
0.69328,0.08734,0.44444,0.27027
0.72689,0.10917,0.50000,0.32432
